Roll,Name,Email,Dept
1401CH44,Danish,Danish@mycollege.in,CH
1401CH45,Tamanna,Tamanna@mycollege.in,CH
1401CH46,Unnati,Unnati@mycollege.in,CH
1401CH47,Sachin,Sachin@mycollege.in,CH
1401CH48,Anupam,Anupam@mycollege.in,CH
1401CH49,Shailesh,Shailesh@mycollege.in,CH
1401CH50,Shoaib,Shoaib@mycollege.in,CH
1401CH51,Vishnu,Vishnu@mycollege.in,CH
1401CH52,Surya,Surya@mycollege.in,CH
1401CH53,Pankaj,Pankaj@mycollege.in,CH
1401CH54,Kaif,Kaif@mycollege.in,CH
1401CH55,Pooja,Pooja@mycollege.in,CH
1401CH56,Gayathri,Gayathri@mycollege.in,CH
1401CH57,Pradeep,Pradeep@mycollege.in,CH
1401CH58,Ritu,Ritu@mycollege.in,CH
1401CH59,Dinesh,Dinesh@mycollege.in,CH
1401CH60,Shriya,Shriya@mycollege.in,CH
1401CH61,Tharun,Tharun@mycollege.in,CH
1401CH62,Karan,Karan@mycollege.in,CH
1401CH63,Kiran,Kiran@mycollege.in,CH
1401CH64,Tarun,Tarun@mycollege.in,CH
1401CH65,Samarth,Samarth@mycollege.in,CH
1401CH66,Ruchi,Ruchi@mycollege.in,CH
1401CH67,Udit,Udit@mycollege.in,CH
1401CH68,Rashi,Rashi@mycollege.in,CH
1401CH69,Shailendra,Shailendra@mycollege.in,CH
1401CH70,Sameer,Sameer@mycollege.in,CH
1401CH71,Shubhi,Shubhi@mycollege.in,CH
1401CH72,Siddhant,Siddhant@mycollege.in,CH
1401CH73,Mahi,Mahi@mycollege.in,CH
1401CH74,Kanika,Kanika@mycollege.in,CH
1401CH75,Aishwarya,Aishwarya@mycollege.in,CH
1401CH76,Rajat,Rajat@mycollege.in,CH
1401CH77,Rituraj,Rituraj@mycollege.in,CH
1401CH78,Naman,Naman@mycollege.in,CH
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CH80,Roshan,Roshan@mycollege.in,CH
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in,CH
1401CH84,Kriti,Kriti@mycollege.in,CH
1401MM01,Bilal,Bilal@mycollege.in,MM
1401MM02,Abhilash,Abhilash@mycollege.in,MM
1401MM03,Vaishali,Vaishali@mycollege.in,MM
1401MM04,Apoorva,Apoorva@mycollege.in,MM
1401MM05,Hemlata,Hemlata@mycollege.in,MM
1401MM06,Aanchal,Aanchal@mycollege.in,MM
1401MM07,Sathwika,Sathwika@mycollege.in,MM
1401MM08,Deepa,Deepa@mycollege.in,MM
1401MM09,Utkarsha,Utkarsha@mycollege.in,MM
1401MM10,Deep,Deep@mycollege.in,MM
1401MM11,Dushyant,Dushyant@mycollege.in,MM
1401MM12,Anshuman,Anshuman@mycollege.in,MM
1401MM13,Sukumaran,Sukumaran@mycollege.in,MM
1401MM14,Chandran,Chandran@mycollege.in,MM
1401MM15,Anshul,Anshul@mycollege.in,MM
1401MM16,Saanchi,Saanchi@mycollege.in,MM
1401MM17,Aadil,Aadil@mycollege.in,MM
1401MM18,Ali,Ali@mycollege.in,MM
1401MM19,Nishant,Nishant@mycollege.in,MM
1401MM20,Aaditya,Aaditya@mycollege.in,MM
1401MM21,Vipasha,Vipasha@mycollege.in,MM
1401MM22,Abbas,Abbas@mycollege.in,MM
1401MM23,Anubha,Anubha@mycollege.in,MM
1401MM24,Chandra,Chandra@mycollege.in,MM
1401MM25,Ayesha,Ayesha@mycollege.in,MM
1401MM26,Rizwa,Rizwa@mycollege.in,MM
1401MM27,Sanjeeda,Sanjeeda@mycollege.in,MM
1401MM28,Devadathan,Devadathan@mycollege.in,MM
