Roll,Name,Email,Dept
1401EC18,Satvik,Satvik@mycollege.in,EC
1401EC19,Sanskar,Sanskar@mycollege.in,EC
1401EC20,Prateek,Prateek@mycollege.in,EC
1401EC21,Prarthana,Prarthana@mycollege.in,EC
1401EC22,Rekha,Rekha@mycollege.in,EC
1401EC23,Pratham,Pratham@mycollege.in,EC
1401EC24,Devanshu,Devanshu@mycollege.in,EC
1401EC25,Devansh,Devansh@mycollege.in,EC
1401EC26,Dolly,Dolly@mycollege.in,EC
1401EC27,Dhruv,Dhruv@mycollege.in,EC
1401EC28,Deeksha,Deeksha@mycollege.in,EC
1401EC29,Bhavya,Bhavya@mycollege.in,EC
1401EC30,Dev,Dev@mycollege.in,EC
1401EC31,Deepali,Deepali@mycollege.in,EC
1401EC32,Faizan,Faizan@mycollege.in,EC
1401EC33,Khushboo,Khushboo@mycollege.in,EC
1401EC34,Karishma,Karishma@mycollege.in,EC
1401EC35,Madhuri,Madhuri@mycollege.in,EC
1401EC36,Maaz,Maaz@mycollege.in,EC
1401EC37,Jahnavi,Jahnavi@mycollege.in,EC
1401EC38,Jahanvi,Jahanvi@mycollege.in,EC
1401EC39,Kamran,Kamran@mycollege.in,EC
1401EC40,Kamini,Kamini@mycollege.in,EC
1401EC41,Rana,Rana@mycollege.in,EC
1401EC42,Sidhi,Sidhi@mycollege.in,EC
1401EC43,Hartesh,Hartesh@mycollege.in,EC
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in,EC
1401EC45,Nishtha,Nishtha@mycollege.in,EC
1401EC46,Dilip,Dilip@mycollege.in,EC
1401EC47,Ramanakanth,Ramanakanth@mycollege.in,EC
1401EC48,Durgesh,Durgesh@mycollege.in,EC
1401EC49,Dipa,Dipa@mycollege.in,EC
1401EC50,Rohith,Rohith@mycollege.in,EC
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,EC
1401EC52,Indu,Indu@mycollege.in,EC
1401EC53,Shyam,Shyam@mycollege.in,EC
1401EC54,Shreyas,Shreyas@mycollege.in,EC
1401CB01,Mansi,Mansi@mycollege.in,CB
1401CB02,Tushar,Tushar@mycollege.in,CB
1401CB03,Abhinav,Abhinav@mycollege.in,CB
1401CB04,Shivangi,Shivangi@mycollege.in,CB
1401CB05,Ashutosh,Ashutosh@mycollege.in,CB
1401CB06,Adarsh,Adarsh@mycollege.in,CB
1401CB07,Divya,Divya@mycollege.in,CB
1401CB08,Piyush,Piyush@mycollege.in,CB
1401CB09,Pragya,Pragya@mycollege.in,CB
1401CB10,Ajay,Ajay@mycollege.in,CB
1401CB11,Akanksha,Akanksha@mycollege.in,CB
1401CB12,Neeraj,Neeraj@mycollege.in,CB
1401CB13,Ritika,Ritika@mycollege.in,CB
1401CB14,Tanya,Tanya@mycollege.in,CB
1401CB15,Nisha,Nisha@mycollege.in,CB
1401CB16,Arun,Arun@mycollege.in,CB
1401CB17,Pallavi,Pallavi@mycollege.in,CB
1401CB18,Aniket,Aniket@mycollege.in,CB
1401CB19,Nikita,Nikita@mycollege.in,CB
1401CB20,Vijay,Vijay@mycollege.in,CB
1401CB21,Ananya,Ananya@mycollege.in,CB
1401CB22,Priyanshi,Priyanshi@mycollege.in,CB
1401CB23,Suraj,Suraj@mycollege.in,CB
1401CB24,Akshat,Akshat@mycollege.in,CB
1401CB25,Ishika,Ishika@mycollege.in,CB
1401CB26,Mohit,Mohit@mycollege.in,CB
1401CB27,Palak,Palak@mycollege.in,CB
1401CB28,Ankur,Ankur@mycollege.in,CB
1401CB29,Richa,Richa@mycollege.in,CB
1401CB30,Ravi,Ravi@mycollege.in,CB
1401CB31,Arpit,Arpit@mycollege.in,CB
