Roll,Name,Email,Dept
1401CH74,Kanika,Kanika@mycollege.in,CH
1401CS73,Divyanshu,Divyanshu@mycollege.in,CS
1401MC71,Renu,Renu@mycollege.in,MC
1401MM70,Archi,Archi@mycollege.in,MM
1401MT65,Rajneesh,Rajneesh@mycollege.in,MT
1401CH75,Aishwarya,Aishwarya@mycollege.in,CH
1401CS74,Jaswant,Jaswant@mycollege.in,CS
1401MC72,Farhan,Farhan@mycollege.in,MC
1401MM71,Arish,Arish@mycollege.in,MM
1401MT66,Kausar,Kausar@mycollege.in,MT
1401CH76,Rajat,Rajat@mycollege.in,CH
1401CS75,Hemanshu,Hemanshu@mycollege.in,CS
1401MC73,Vignesh,Vignesh@mycollege.in,MC
1401MM72,Shyamali,Shyamali@mycollege.in,MM
1401MT67,Rouby,Rouby@mycollege.in,MT
1401CH77,Rituraj,Rituraj@mycollege.in,CH
1401CS76,Bhoopendra,Bhoopendra@mycollege.in,CS
1401MC74,Abhimanyu,Abhimanyu@mycollege.in,MC
1401MM73,Sejal,Sejal@mycollege.in,MM
1401MT68,Sanket,Sanket@mycollege.in,MT
1401CH78,Naman,Naman@mycollege.in,CH
1401CS77,Bhawana,Bhawana@mycollege.in,CS
1401MC75,Faraz,Faraz@mycollege.in,MC
1401MM74,Shaileja,Shaileja@mycollege.in,MM
1401MT69,Hari,Hari@mycollege.in,MT
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CS78,Divakar,Divakar@mycollege.in,CS
1401MM75,Gitanshu,Gitanshu@mycollege.in,MM
1401MT70,Saumile,Saumile@mycollege.in,MT
1401CH80,Roshan,Roshan@mycollege.in,CH
1401CS79,Dimpal,Dimpal@mycollege.in,CS
1401MM76,Mansoon,Mansoon@mycollege.in,MM
1401MT71,Shagufta,Shagufta@mycollege.in,MT
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CS80,Shrestha,Shrestha@mycollege.in,CS
1401MM77,Akshaya,Akshaya@mycollege.in,MM
1401MT72,Shaad,Shaad@mycollege.in,MT
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CS81,Shivanshi,Shivanshi@mycollege.in,CS
1401MM78,Madhusri,Madhusri@mycollege.in,MM
1401MT73,Rupali,Rupali@mycollege.in,MT
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in,CH
1401CS82,Shubh,Shubh@mycollege.in,CS
1401MM79,Meet,Meet@mycollege.in,MM
1401MT74,Jenamani,Jenamani@mycollege.in,MT
1401CH84,Kriti,Kriti@mycollege.in,CH
1401CS83,Shreyash,Shreyash@mycollege.in,CS
1401MM80,Prajeeth,Prajeeth@mycollege.in,MM
1401MT75,Sadiya,Sadiya@mycollege.in,MT
1401CS84,Satyarth,Satyarth@mycollege.in,CS
1401MM81,Gyanvi,Gyanvi@mycollege.in,MM
1401MT76,Saksham,Saksham@mycollege.in,MT
1401CS85,Satyam,Satyam@mycollege.in,CS
1401MM82,Govindam,Govindam@mycollege.in,MM
1401MT77,Saharsh,Saharsh@mycollege.in,MT
1401CS86,Shilpa,Shilpa@mycollege.in,CS
1401MT78,Kushan,Kushan@mycollege.in,MT
1401CS87,Shikha,Shikha@mycollege.in,CS
1401CS88,Soniya,Soniya@mycollege.in,CS
1401CS89,Tanay,Tanay@mycollege.in,CS
1401CS90,Sushant,Sushant@mycollege.in,CS
1401CS91,Ujjwal,Ujjwal@mycollege.in,CS
1401CS92,Tanu,Tanu@mycollege.in,CS
1401CS93,Subham,Subham@mycollege.in,CS
1401CS94,Srishti,Srishti@mycollege.in,CS
1401CS95,Suryakant,Suryakant@mycollege.in,CS
