Roll,Name,Email,Dept
1401CE52,Vanshika,Vanshika@mycollege.in,CE
1401CH52,Surya,Surya@mycollege.in,CH
1401CS52,Uttam,Uttam@mycollege.in,CS
1401CT51,Anita,Anita@mycollege.in,CT
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,EC
1401MC51,Seshikanth,Seshikanth@mycollege.in,MC
1401MM47,Chhavi,Chhavi@mycollege.in,MM
1401MT47,Eshma,Eshma@mycollege.in,MT
1401CE53,Rohan,Rohan@mycollege.in,CE
1401CH53,Pankaj,Pankaj@mycollege.in,CH
1401CS53,Vatsalya,Vatsalya@mycollege.in,CS
1401CT52,Anupriya,Anupriya@mycollege.in,CT
1401EC52,Indu,Indu@mycollege.in,EC
1401MC52,Kalpana,Kalpana@mycollege.in,MC
1401MM48,Shreepriya,Shreepriya@mycollege.in,MM
1401MT48,Aruba,Aruba@mycollege.in,MT
1401CE54,Shivansh,Shivansh@mycollege.in,CE
1401CH54,Kaif,Kaif@mycollege.in,CH
1401CS54,Aparna,Aparna@mycollege.in,CS
1401CT53,Anukriti,Anukriti@mycollege.in,CT
1401EC53,Shyam,Shyam@mycollege.in,EC
1401MC53,Santosh,Santosh@mycollege.in,MC
1401MM49,Nahid,Nahid@mycollege.in,MM
1401MT49,Ehtisham,Ehtisham@mycollege.in,MT
1401CE55,Sunil,Sunil@mycollege.in,CE
1401CH55,Pooja,Pooja@mycollege.in,CH
1401CS55,Disha,Disha@mycollege.in,CS
1401CT54,Kritika,Kritika@mycollege.in,CT
1401EC54,Shreyas,Shreyas@mycollege.in,EC
1401MC54,Kapil,Kapil@mycollege.in,MC
1401MM50,Sharique,Sharique@mycollege.in,MM
1401MT50,Nitya,Nitya@mycollege.in,MT
1401CE56,Juhi,Juhi@mycollege.in,CE
1401CH56,Gayathri,Gayathri@mycollege.in,CH
1401CS56,Seema,Seema@mycollege.in,CS
1401CT55,Jaya,Jaya@mycollege.in,CT
1401MC55,Subash,Subash@mycollege.in,MC
1401MM51,Anusha,Anusha@mycollege.in,MM
1401MT51,Nishu,Nishu@mycollege.in,MT
1401CH57,Pradeep,Pradeep@mycollege.in,CH
1401CS57,Suryansh,Suryansh@mycollege.in,CS
1401CT56,Namrata,Namrata@mycollege.in,CT
1401MC56,Raunak,Raunak@mycollege.in,MC
1401MM52,Anunay,Anunay@mycollege.in,MM
1401MT52,Noorsaba,Noorsaba@mycollege.in,MT
1401CH58,Ritu,Ritu@mycollege.in,CH
1401CS58,Yashaswi,Yashaswi@mycollege.in,CS
1401CT57,Kushagra,Kushagra@mycollege.in,CT
1401MC57,Mangal,Mangal@mycollege.in,MC
1401MM53,Vidit,Vidit@mycollege.in,MM
1401MT53,Punya,Punya@mycollege.in,MT
1401CH59,Dinesh,Dinesh@mycollege.in,CH
1401CS59,Avinash,Avinash@mycollege.in,CS
1401CT58,Hariom,Hariom@mycollege.in,CT
1401MC58,Tejas,Tejas@mycollege.in,MC
1401MM54,Shwetanshi,Shwetanshi@mycollege.in,MM
1401MT54,Nihal,Nihal@mycollege.in,MT
1401CH60,Shriya,Shriya@mycollege.in,CH
1401CS60,Smita,Smita@mycollege.in,CS
1401CT59,Gargi,Gargi@mycollege.in,CT
1401MC59,Mayur,Mayur@mycollege.in,MC
1401MM55,Anshit,Anshit@mycollege.in,MM
1401MT55,Devyanti,Devyanti@mycollege.in,MT
1401CH61,Tharun,Tharun@mycollege.in,CH
1401CS61,Subhra,Subhra@mycollege.in,CS
1401CT60,Janvi,Janvi@mycollege.in,CT
1401MC60,Ravisankar,Ravisankar@mycollege.in,MC
1401MM56,Anubhuti,Anubhuti@mycollege.in,MM
1401MT56,Nishchay,Nishchay@mycollege.in,MT
1401CH62,Karan,Karan@mycollege.in,CH
1401CS62,Tuhin,Tuhin@mycollege.in,CS
1401CT61,Jai,Jai@mycollege.in,CT
1401MC61,Mahesh,Mahesh@mycollege.in,MC
1401MM57,Vashif,Vashif@mycollege.in,MM
1401MT57,Shagun,Shagun@mycollege.in,MT
1401CH63,Kiran,Kiran@mycollege.in,CH
1401CS63,Arti,Arti@mycollege.in,CS
1401CT62,Naziya,Naziya@mycollege.in,CT
1401MC62,Mahato,Mahato@mycollege.in,MC
1401MM58,Jahangeer,Jahangeer@mycollege.in,MM
1401MT58,Joy,Joy@mycollege.in,MT
1401CH64,Tarun,Tarun@mycollege.in,CH
1401CS64,Aakash,Aakash@mycollege.in,CS
1401CT63,Ragini,Ragini@mycollege.in,CT
1401MC63,Aaryan,Aaryan@mycollege.in,MC
1401MM59,Sharanya,Sharanya@mycollege.in,MM
1401MT59,Reshami,Reshami@mycollege.in,MT
1401CH65,Samarth,Samarth@mycollege.in,CH
1401CS65,Ayan,Ayan@mycollege.in,CS
1401CT64,Priyam,Priyam@mycollege.in,CT
1401MC64,Manas,Manas@mycollege.in,MC
1401MM60,Saudamini,Saudamini@mycollege.in,MM
1401MT60,Ronit,Ronit@mycollege.in,MT
1401CH66,Ruchi,Ruchi@mycollege.in,CH
1401CS66,Aryan,Aryan@mycollege.in,CS
1401MC65,Surbhi,Surbhi@mycollege.in,MC
1401MM61,Arshad,Arshad@mycollege.in,MM
1401MT61,Rishu,Rishu@mycollege.in,MT
