Roll,Name,Email,Dept
1401CB46,Sumit,Sumit@mycollege.in,CB
1401CE45,Aviral,Aviral@mycollege.in,CE
1401CH45,Tamanna,Tamanna@mycollege.in,CH
1401CS45,Divyam,Divyam@mycollege.in,CS
1401CT45,Amrit,Amrit@mycollege.in,CT
1401EC41,Rana,Rana@mycollege.in,EC
1401MC41,Asutosh,Asutosh@mycollege.in,MC
1401MM41,Pranav,Pranav@mycollege.in,MM
1401MT41,Jashveer,Jashveer@mycollege.in,MT
1401CB47,Kishan,Kishan@mycollege.in,CB
1401CE46,Abdul,Abdul@mycollege.in,CE
1401CH46,Unnati,Unnati@mycollege.in,CH
1401CS46,Kirti,Kirti@mycollege.in,CS
1401CT46,Arman,Arman@mycollege.in,CT
1401EC42,Sidhi,Sidhi@mycollege.in,EC
1401MC42,Pradip,Pradip@mycollege.in,MC
1401MM42,Babu,Babu@mycollege.in,MM
1401MT42,Nargis,Nargis@mycollege.in,MT
1401CB48,Pawan,Pawan@mycollege.in,CB
1401CE47,Sumeet,Sumeet@mycollege.in,CE
1401CH47,Sachin,Sachin@mycollege.in,CH
1401CS47,Annanya,Annanya@mycollege.in,CS
1401CT47,Archana,Archana@mycollege.in,CT
1401EC43,Hartesh,Hartesh@mycollege.in,EC
1401MC43,Mrityunjay,Mrityunjay@mycollege.in,MC
1401MM43,Bibhu,Bibhu@mycollege.in,MM
1401MT43,Shreyans,Shreyans@mycollege.in,MT
1401CB49,Soumya,Soumya@mycollege.in,CB
1401CE48,Prerna,Prerna@mycollege.in,CE
1401CH48,Anupam,Anupam@mycollege.in,CH
1401CS48,Arunima,Arunima@mycollege.in,CS
1401CT48,Avanish,Avanish@mycollege.in,CT
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in,EC
1401MC44,Kavish,Kavish@mycollege.in,MC
1401MM44,Chirayu,Chirayu@mycollege.in,MM
1401MT44,Manaswini,Manaswini@mycollege.in,MT
1401CB50,Neelesh,Neelesh@mycollege.in,CB
1401CE49,Nupur,Nupur@mycollege.in,CE
1401CH49,Shailesh,Shailesh@mycollege.in,CH
1401CS49,Niteesh,Niteesh@mycollege.in,CS
1401CT49,Yusuf,Yusuf@mycollege.in,CT
1401EC45,Nishtha,Nishtha@mycollege.in,EC
1401MC45,Monica,Monica@mycollege.in,MC
1401MM45,Sameeksha,Sameeksha@mycollege.in,MM
1401MT45,Neelu,Neelu@mycollege.in,MT
1401CE50,Neha,Neha@mycollege.in,CE
1401CH50,Shoaib,Shoaib@mycollege.in,CH
1401CS50,Nithisha,Nithisha@mycollege.in,CS
1401CT50,Anubhav,Anubhav@mycollege.in,CT
1401EC46,Dilip,Dilip@mycollege.in,EC
1401MC46,Sabareesh,Sabareesh@mycollege.in,MC
1401MM46,Ashmita,Ashmita@mycollege.in,MM
1401MT46,Mukund,Mukund@mycollege.in,MT
1401CE51,Vikas,Vikas@mycollege.in,CE
1401CH51,Vishnu,Vishnu@mycollege.in,CH
1401CS51,Sandhya,Sandhya@mycollege.in,CS
1401CT51,Anita,Anita@mycollege.in,CT
1401EC47,Ramanakanth,Ramanakanth@mycollege.in,EC
1401MC47,Lakshmi,Lakshmi@mycollege.in,MC
1401MM47,Chhavi,Chhavi@mycollege.in,MM
1401MT47,Eshma,Eshma@mycollege.in,MT
1401CE52,Vanshika,Vanshika@mycollege.in,CE
1401CH52,Surya,Surya@mycollege.in,CH
1401CS52,Uttam,Uttam@mycollege.in,CS
1401CT52,Anupriya,Anupriya@mycollege.in,CT
1401EC48,Durgesh,Durgesh@mycollege.in,EC
1401MC48,Love,Love@mycollege.in,MC
1401MM48,Shreepriya,Shreepriya@mycollege.in,MM
1401MT48,Aruba,Aruba@mycollege.in,MT
1401CE53,Rohan,Rohan@mycollege.in,CE
1401CH53,Pankaj,Pankaj@mycollege.in,CH
1401CS53,Vatsalya,Vatsalya@mycollege.in,CS
1401CT53,Anukriti,Anukriti@mycollege.in,CT
1401EC49,Dipa,Dipa@mycollege.in,EC
1401MC49,Lekhraj,Lekhraj@mycollege.in,MC
1401MM49,Nahid,Nahid@mycollege.in,MM
1401MT49,Ehtisham,Ehtisham@mycollege.in,MT
1401CE54,Shivansh,Shivansh@mycollege.in,CE
1401CH54,Kaif,Kaif@mycollege.in,CH
1401CS54,Aparna,Aparna@mycollege.in,CS
1401CT54,Kritika,Kritika@mycollege.in,CT
1401EC50,Rohith,Rohith@mycollege.in,EC
1401MC50,Sahil,Sahil@mycollege.in,MC
1401MM50,Sharique,Sharique@mycollege.in,MM
1401MT50,Nitya,Nitya@mycollege.in,MT
1401CE55,Sunil,Sunil@mycollege.in,CE
